Title,Publisher,Hero Name,Cosmic,Category
Batman: The Court of Owls Saga: DC Compact Comics Edition,DC,Batman,No,Batman
Batman: Hush: DC Compact Comics Edition,DC,Batman,No,Batman
Batman: One Bad Day Box Set,DC,Batman,No,Batman
Batman by Scott Snyder & Greg Capullo Omnibus Vol. 1,DC,Batman,No,Batman
Batman by Scott Snyder & Greg Capullo Omnibus Vol. 2,DC,Batman,No,Batman
Batman by Paul Dini Omnibus,DC,Batman,No,Batman
Batman: Knightfall Omnibus Vol. 1 (New Edition),DC,Batman,No,Batman
The Batman Box Set (The Long Halloween / Year One / Ego and Other Tails),DC,Batman,No,Batman
Detective Comics: 80 Years of Batman Deluxe Edition,DC,Batman,No,Batman
Gotham Central Omnibus (2022 edition),DC,Batman,No,Batman
Batman by Jeph Loeb & Tim Sale Omnibus,DC,Batman,No,Batman
The Batman Adventures Omnibus,DC,Batman,No,Batman
Batman: A Death in the Family,DC,Batman,No,Batman
Batgirl/Robin Year One,DC,Batman,No,Batman
Batman: Detective Comics Vol. 1: Mercy of the Father,DC,Batman,No,Batman
Batman: Dark Victory (New Edition),DC,Batman,No,Batman
Batman: Under the Red Hood: The Deluxe Edition,DC,Batman,No,Batman
Batman Vol. 1: Their Dark Designs,DC,Batman,No,Batman
Batman Vol. 2: The Joker War,DC,Batman,No,Batman
Batman Vol. 3: Ghost Stories,DC,Batman,No,Batman
Batman: Shadow War,DC,Batman,No,Batman
Batman: Arkham Asylum The Deluxe Edition,DC,Batman,No,Batman
Batman/The Flash: The Button Deluxe Edition,DC,Batman,No,Batman
Batman by Tom King Omnibus Vol. 1,DC,Batman,No,Batman
Batman & Robin By Tomasi and Gleason Omnibus (2023 Edition),DC,Batman,No,Batman
Batman: Mad Love and Other Stories,DC,Batman,No,Batman
Batman: Arkham Asylum: DC Compact Comics,DC,Batman,No,Batman
The Batman Who Laughs,DC,Batman,No,Batman
Batman by Grant Morrison Omnibus Vol. 1,DC,Batman,No,Batman
Batman by Grant Morrison Omnibus Vol. 2,DC,Batman,No,Batman
Batman by Grant Morrison Omnibus Vol. 3,DC,Batman,No,Batman
All-Star Superman: DC Compact Comics Edition,DC,Superman,No,Superman
Death and Return of Superman Omnibus (2022 edition),DC,Superman,No,Superman
Absolute Superman by Geoff Johns & Gary Frank,DC,Superman,No,Superman
Superman for All Seasons,DC,Superman,No,Superman
Superman: Action Comics Vol. 1: Warworld Rising,DC,Superman,No,Superman
Superman: Action Comics Vol. 2: The Arena,DC,Superman,No,Superman
Superman: Action Comics Vol. 3: Warworld Revolution,DC,Superman,No,Superman
Superman: Birthright: DC Compact Comics Edition,DC,Superman,No,Superman
Superman by Peter J. Tomasi & Patrick Gleason Omnibus,DC,Superman,No,Superman
Superman/Batman: DC Compact Comics Edition,DC,Superman,No,Superman
Superman: The Rebirth Deluxe Edition Book 1,DC,Superman,No,Superman
Superman: The Rebirth Deluxe Edition Book 2,DC,Superman,No,Superman
Wonder Woman: Earth One: DC Compact Comics Edition,DC,Wonder Woman,No,Wonder Woman
Wonder Woman By George Perez Vol. 1,DC,Wonder Woman,No,Wonder Woman
Wonder Woman: Blood and Guts: DC Compact Comics Edition,DC,Wonder Woman,No,Wonder Woman
Wonder Woman Historia: The Amazons,DC,Wonder Woman,No,Wonder Woman
The Flash by Mark Waid Omnibus Vol. 1,DC,Flash,No,Flash
The Flash by Joshua Williamson Omnibus Vol. 1,DC,Flash,No,Flash
Green Lantern by Geoff Johns Omnibus Vol. 1,DC,Green Lantern,Yes,Green Lantern
Green Lantern by Geoff Johns Omnibus Vol. 2,DC,Green Lantern,Yes,Green Lantern
Green Lantern by Geoff Johns Omnibus Vol. 3,DC,Green Lantern,Yes,Green Lantern
Green Lantern: Kyle Rayner Rising Compendium,DC,Green Lantern,Yes,Green Lantern
Green Arrow: Archer's Quest Omnibus Vol. 1,DC,Green Arrow,No,Green Arrow
Aquaman by Geoff Johns Omnibus,DC,Aquaman,No,Aquaman
Nightwing: A Knight in Bludhaven Compendium Book One,DC,Nightwing,No,Nightwing
Nightwing: The Prince of Gotham Omnibus (2025 Edition),DC,Nightwing,No,Nightwing
Nightwing: Rebirth Omnibus,DC,Nightwing,No,Nightwing
Nightwing by Tom Taylor and Bruno Redondo Omnibus Vol. 1,DC,Nightwing,No,Nightwing
Catwoman: Trail of the Catwoman: DC Compact Comics Edition,DC,Catwoman,No,Catwoman
The Question Omnibus by Dennis O'Neil and Denys Cowan Vol. 1,DC,The Question,No,The Question
Suicide Squad: The New 52 Omnibus,DC,Multiple,No,Suicide Squad
Suicide Squad Vol. 1: Trial by Fire,DC,Multiple,No,Suicide Squad
Teen Titans by Geoff Johns Omnibus (2022 edition),DC,Multiple,No,Teen Titans
Zatanna by Paul Dini (New Edition),DC,Zatanna,No,Zatanna
Supergirl: Woman of Tomorrow,DC,Supergirl,No,Supergirl
Harley Quinn & the Gotham City Sirens: DC Compact Comics Edition,DC,Harley Quinn,No,Harley Quinn
Joker: DC Compact Comics Edition,DC,Joker,No,Joker
Harley Quinn: Wild at Heart: DC Compact Comics Edition,DC,Harley Quinn,No,Harley Quinn
The Authority Omnibus (2025 Edition),DC,Multiple,No,The Authority
Deathstroke: The Terminator by Marv Wolfman Omnibus Vol. 1,DC,Deathstroke,No,Deathstroke
The Terrifics: The Complete Collection,DC,Multiple,No,The Terrifics
Birds of Prey Vol. 1: Megadeath,DC,Multiple,No,Birds of Prey
Birds of Prey Vol. 2: Worlds Without End,DC,Multiple,No,Birds of Prey
Birds of Prey Vol. 3: Bird Undercover,DC,Multiple,No,Birds of Prey
Booster Gold: The Complete 2007 Series Book One,DC,Booster Gold,No,Booster Gold
Secret Six by Gail Simone Omnibus Vol. 1,DC,Multiple,No,Secret Six
The Authority: Relentless: DC Compact Comics Edition,DC,Multiple,No,The Authority
DC Finest: Plastic Man: The Origin of Plastic Man,DC,Plastic Man,No,Plastic Man
Mister Miracle,DC,Mister Miracle,Yes,New Gods
Titans Vol. 1: Out of the Shadows,DC,Multiple,No,Titans
Titans Vol. 2: The Dark-Winged Queen,DC,Multiple,No,Titans
Titans Vol. 3: Hard Feelings,DC,Multiple,No,Titans
Titans: Beast World,DC,Multiple,No,Titans
Batwoman: Elegy: DC Compact Comics Edition,DC,Batwoman,No,Batwoman
Kingdom Come: DC Compact Comics Edition,DC,Multiple,No,Kingdom Come
DCeased: DC Compact Comics Edition,DC,Multiple,Yes,DCeased
DCeased Omnibus,DC,Multiple,Yes,DCeased
Far Sector: DC Compact Comics Edition,DC,Green Lantern,Yes,Green Lantern
Harleen,DC,Harley Quinn,No,Harley Quinn
DC Universe: Origins,DC,Multiple,No,DC Universe
The Animal Man Omnibus (2022 Edition),DC,Animal Man,No,Animal Man
Saga of the Swamp Thing Box Set,DC,Swamp Thing,No,Swamp Thing
DC: The New Frontier: DC Compact Comics Edition,DC,Multiple,No,DC New Frontier
Injustice 2 Omnibus,DC,Multiple,No,Injustice
Top 10 Compendium,DC,Multiple,No,Top 10
Sandman Expanded Edition Box Set,DC,Sandman,No,Sandman
Planetary Omnibus,DC,Multiple,No,Planetary
Doom Patrol Omnibus,DC,Multiple,No,Doom Patrol
Preacher: The 25th Anniversary Omnibus Vol. 1,DC,Multiple,No,Preacher
Preacher: The 25th Anniversary Omnibus Vol. 2,DC,Multiple,No,Preacher
Promethea: 20th Anniversary Deluxe Edition Book One,DC,Promethea,No,Promethea
Promethea: 20th Anniversary Deluxe Edition Book Two,DC,Promethea,No,Promethea
Promethea: 20th Anniversary Deluxe Edition Book Three,DC,Promethea,No,Promethea
